material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
hbn,90.82845,90.47341,-0.35503,284.682,285.0,0.67432,2
hbn,8.41138,8.47325,0.06187,284.739,285.0,0.2565,1
hbn,116.57239,116.37851,-0.19388,285.946,285.0,0.86026,1
hbn,71.75147,71.62214,-0.12933,285.037,285.0,5.40193,1
hbn,90.61158,89.04693,-1.56465,284.353,285.0,0.78551,2
wse2,2.79655,2.84312,0.04657,284.303,285.0,0.06034,1
wse2,3.30754,3.24088,-0.06666,286.496,285.0,0.09058,1
wse2,1.84868,1.86736,0.01868,284.445,285.0,0.05324,1
wse2,29.11675,27.40107,-1.71568,285.543,285.0,0.95069,1
wse2,62.637,61.69332,-0.94367,284.27,285.0,2.37691,2
wse2,21.90821,26.2419,4.33369,285.477,285.0,1.63967,1
wse2,4.3168,4.34726,0.03046,285.303,285.0,0.04462,1
wse2,11.76956,11.74148,-0.02808,284.987,285.0,0.36031,1
wse2,76.4231,80.04418,3.62108,283.417,285.0,2.10371,3
wse2,0.78269,0.79752,0.01483,284.668,285.0,0.02446,1
wse2,0.68574,0.73629,0.05055,282.129,285.0,0.02898,1
wse2,5.38624,5.40969,0.02344,285.011,285.0,0.05746,1
wse2,9.66828,9.66463,-0.00365,284.82,285.0,0.23102,4
wse2,71.89667,72.69243,0.79575,285.468,285.0,1.05455,4
wse2,7.11329,7.1808,0.06751,285.736,285.0,0.14264,1
wse2,36.84326,37.51476,0.67149,284.462,285.0,0.48657,1
wse2,0.96787,0.98053,0.01266,283.693,285.0,0.02889,1
wse2,4.43737,4.47842,0.04105,283.897,285.0,0.05207,1
wse2,13.6414,13.48964,-0.15176,284.969,285.0,0.53247,2
wse2,24.65332,27.22899,2.57567,283.306,285.0,1.6298,1
wse2,0.75999,0.77107,0.01109,284.471,285.0,0.02539,1
wse2,1.39406,1.36595,-0.02812,284.706,285.0,0.02459,1
wse2,8.17667,8.48288,0.30621,286.171,285.0,0.2466,4
wse2,15.75884,15.97285,0.214,285.419,285.0,0.59748,2
